ID	penems	sulfonamides
ED766	none	none
ED729	none	sul1, sul2
ED728	none	none
ED699	none	none
ED680	none	none
ED679	none	none
ED676	none	none
ED672	TEM-1	sul1, sul2
ED669	none	none
ED668	none	none
ED666	none	none
ED664	TEM-1	sul1
ED657	none	none
ED654	none	none
ED653	none	none
ED647	none	none
ED644	none	none
ED636	none	none
ED608	TEM-1	sul2
ED604	none	none
ED603	none	none
ED449	none	none
ED423	none	none
ED415	TEM-1	sul2
ED414	none	none
ED413	none	none
ED411	none	none
ED392	none	none
ED287	none	none
ED195	none	none
ED180	none	none
ED178	TEM-1	sul1
ED142	TEM-1	sul1
ED082	TEM-1	sul1
ED075	TEM-1	none
ED073	TEM-1	sul1
ED040	none	none
ED017	TEM-1	sul1, sul2
ED010	none	none
